,songname,comments
648,Lights Please.json,"
this song is about Cole trying to put a young naive girl up on game about life, self-worth and how to win in this world. all she wants to do is give her body to him and wont listen to what he has to say. so instead he falls into her ignorance as well by havin sex with her. and then feelin bad but at the same time its like whatever so ""lights please"" lets do it.				
				







 
There was an error.





@NovaDior 
















0








 
			word son.			






			word son.			

This song has such a hot beat. And I love his voice on the track.  
I like the social commentary mixed with the sexual.  It's freaky but so powerful. 

**Michael. JACKSON**				
				







 
There was an error.





@hellotherefriend 















This song is about Naive, dumb girl cole tries to reach out to. He tries to talk with her about world problems and big issues but she refuses to listen because she just wants to have sex. He talks about how easy it is to just give in to her instead of try to reason with her and the pride he feels knowing that she is all his, even if it is only for that moment.				
				







 
There was an error.





@erika64298 















The song has a double meaning. The girl as his fans and the sex referring to his popular songs such as, No Role Modelz, Work Out, Etc. While trying to show the real world with songs like Rich Niggaz, Love Yourz, Break Down, etc. the girl (his fans) always seems to be nieve when talking about the real world. Since the sex (popular songs) seems to relieve him of his pain,""for now everything just seems so right, and how you make the darkness seem so bright"", he always seems to give in.				
				







 
There was an error.





@Born707sinner 














"
649,Like a Throttle.json,nil
650,Like I Can.json,"
He's describing the different types of men, but saying that none of them can ever provide the same love Sam did, or wants to, for this person.				
				







 
There was an error.





@Dancer_Lark 















This song is perfect (like the rest in this album). The lyrics are very clear; he says to the other person that no matter what others may offer, they'll never be good enough to him, they'll never love him like he does, nobody can. I simple and deep at the same time. love it.				
				







 
There was an error.





@adrianosa 















How do you find swagger in a heartbreak? See above. Nice, Sam, very nice.				
				







 
There was an error.





@davidecoyote 














"
651,Like Mariah (feat. Tyga).json,nil
652,Like That Right There.json,nil
653,Like to Be You.json,nil
654,Like Toy Soldiers.json,"
The song is basically about the rap wars and how much the danger of being hurt or killed by your rivals is highly possible. Eminem sings a little about most of his feuds with multiple artists and the video is just what could possibly happen to someone from his crew due to all of the fighting between the groups. The person that dies in the video actually dies 2 years later after the song was made. He was shot in a bar after shooting someone over a game of pool.

There are some people that he has named, I will try to clarify the situation.

Benzino is an older rapper, whom had control over Source magazine for a while and used it to bash on Eminem and even made a new album with a lot of songs directed to Eminem and I'm assuming that Eminem believed Benzino was irrelevant to everything that was going on and decided to try to be on top of the rap game by starting drama with him.

50 Cent's feud is said to be started in his words that Ja Rule was robbed out of his jewelry and Ja Rule thought 50 Cent had something to do with it and Ja Rule said that 50 Cent was jealous over the fact that when he was making videos in his 'hood, he got a lot of love from the people there. That's when they started to make diss song at each other with Ja Rule and Murder Inc artists and 50 Cent with his G-Unit. 50 Cent was nearly killed after being shot 9 times. It's said that a local drug kingpin sent the hit after 50 Cent made an album that exposed Murder Inc's illegal activties with the said drug dealer. It's also believed that the same drug dealer killed Jam Master Jay for helping out 50 Cent make and send the album and pretty much taught 50 Cent how to actually make music. 50 Cent later joined in Eminem's record label and Ja Rule threatened Eminem and Dre to not make any diss songs about him and they didn't until Dre produced a 50 Cent song that pretty much destroyed Ja Rule and his family and that's when Ja Rule came out with ''Loose Change'' and it was directed to Dre and Eminem and people from their labels and that's when Eminem/D12, Dr. Dre, 50 Cent/G-Unit battled Ja Rule/Murder Inc and other artists for a while. There was a time where Dre and Eminem talked with 50 Cent to try kill the drama with Ja Rule, but Ja Rule was talking and joking about how he was the one that stabbed 50 Cent in a club and that continued the fued. It was actually Black Child from Murder Inc that stabbed 50 Cent because he thought he was pulling out a gun.

Now to the Suge Knight thing. Eminem wasn't afraid of Suge Knight, he just didn't attack Suge Knight out of respect for his friend Dr. Dre who told him to stay out of it because it wasn't his beef and wanted to do things by himself.				
				







 
There was an error.





@Acid Christ 















I don't usually listen to Eminem, but these lyrics are so raw and real I just had to comment. He talks about trying to be the responsible person in a world of immature rappers. He doesn't want to lose his temper but when the people he cherishes the most are involved then it's war. He just sounds so mature, and I like how with this song he basically says how he knows what's right from wrong but he will fight to the end for his loved ones. Good job, E!				
				







 
There was an error.





@carleybeth 















eminem is right... ja is a tool.				
				







 
There was an error.





@yuri_sucupira 















I love how angry he sounds in this song. This song is simply amazing. Amazing. I bet he felt so much looser after writing this song, he let out alot of his rage and thoughts in this. Congrats Eminem, this is just another song that proves you're the best rapper the world has ever seen.				
				







 
There was an error.





@hicktownhero 















Incredible. Incredible.				
				







 
There was an error.





@wolfplaya07 















2 comments above say it all! Great song!				
				







 
There was an error.





@Matty 















Ja Rule's song that said that stuff about Hailie was called Loose Change (a freestyle).

The line was """"Em, you claim your mother is a crackhead and Kim is a known slut/So what's Hailie gonna be when she grows up?""				
				







 
There was an error.





@Theo Reo 
















+1








 
			thats something someones gonna b remembered for..			






			thats something someones gonna b remembered for..			

cool song....i like the way eminem is rapping faster on this cd				
				







 
There was an error.





@frenzy 















THIS IS ONE OF EM'S BEST SONGS,LOVE IT!!!!!!!!!!!!!!!!!!!				
				







 
There was an error.





@RE_FAN474 















to can u keep up 
why do you hate eminem so much? He is making something of his life. He is trying to create something good out of something that was bad. How can you rank on someone for that? A lot of people like his music so he is good for something. He is not out there shooting people or throwing away his life. He's speaking out against it. Some communities are not in very good condition and we need people like eminem to inspire people and have something to hang on to. What we don't need is blind hate. You look completely one sided. Maybe you should open up your mind. I am not saying you have to like it but at least respect it. Its art don't trash it.				
				







 
There was an error.





@who_knows 














"
655,Like You.json,"
I loveee this song!!!				
				







 
There was an error.





@xprettyxlies 














"
656,Lil Porsche.json,nil
657,Liquor Store Blues.json,"
I'm not that into Bruno Mars but gotta respect the guy if he gets Damian Marley to record a song with him. The video rocks btw!				
				







 
There was an error.





@aaltouuni 














"
658,Little Drummer Boy.json,nil
659,Little Rain.json,nil
660,Little Red Wagon.json,"
I take it like ""Eff you guy, I'm awesome!"".				
				







 
There was an error.





@Irishspades 















It's an allusion to her divorce from Blake Shelton. ""Oh heaven help me, I've been sowing wildflower seeds"" could be an allusion to her affairs that drove them apart.				
				







 
There was an error.





@seeing 














"
661,"Lo Que Paso, Paso.json","
if you don't like it asshole, don't listen to it				
				







 
There was an error.





@eL_dee 















True... maybe not the greatest music out there... but then again, what is? It all depends on your mood, I'm Dominican and have been listening to reggaetton since the old days when only underground stuff used to come out, nobody thought it was going to make this big a boom, and I myself was reluctant at first to accept the transition of the genre, but u know what... I really enjoy it, and it's not really the artists fault that the genre has reached such high levels of acceptance between communities, enjoy the music, dance to it. if you don't like it then don't waste your time posting here or hearing it! do yourselves a favor... :)				
				







 
There was an error.





@Lat|noXXX 















pitty post				
				







 
There was an error.





@frenzy 















Better than that mexican regional and texmex crap you guys come up with lol				
				







 
There was an error.





@Lat|noXXX 















yankee is from Puerto Rico and so am I.. we dont really care about the lyrics or what it means as long as if its catchy and fun and sexy to dance with. i think people hate yankee because the media over-exposed him and also because they think he is a poser or a fake or whatever but we here know what he is all about and he is one of the greatest to us. and its a fashion so i know its not forever but as long as reggaeton is IN.. well, he will be remembered.
 and this song is not about sex...is about a guy saying to his exgirlfriend 'hey, we are through , face it . its over. you cheated and im not gonna take it etc				
				







 
There was an error.





@sugar magnolia 















booo dont bash on daddy yankee. He's sexy.

and yeah. this song is about ""its over, blablabla""				
				







 
There was an error.





@eL_dee 















having latino friends and working at a place where the majority of employees are latin doesn't make it that easy. i can put up with it, but it's not the greatest music out there.				
				







 
There was an error.





@133 















not all reggeaton is about sex! most of it is though lol

I like reggeaton is the best music to dance and like it or not Daddy Yankee is now one of the greatest most important musicians out there, he's known world wide and has had a lot of success in Europe and the States.

Reggeaton may not be the greatest music, but it's not the worst either.				
				







 
There was an error.





@milita17 















God, could somebody keep this guy from making more music? Here in mexico i´m surrounded! Arghh!				
				







 
There was an error.





@Frau 















Reggaeton sucks. I'm from mexico too, and it's true, we're surrounded. People only like this music because it's danceable, but ALL lyrics with no exception talk about sex. I mean, sex is cool, but... all songs like this one are substituted by another song, and that one by another and so on. So... what is it you find interesting about this music?				
				







 
There was an error.





@Thisnameistaken 














"
662,Locked Out of Heaven.json,"
I dig the ode to The Police in this song... Bruno respects the history of pop music and his personal twist on it is refreshing...				
				







 
There was an error.





@duds11 















Not a Bruno fan (his voice is uninspiring), but this song has its merits. It's catcy and fitting. And It beats the boring yet popular Sex On Fire by Kings of Leon. For a very long, boring time I was viewed as a mother and a sister. It's won-der-ful being viewed as a woman and a passionate, energetic one. Here's to a new life and a sucky past that should have been buried a long, long time ago. Cheers to me!				
				







 
There was an error.





@IllToast2That 
















+1








 
			Oh, the song is about sex. Damn good sex.			






			Oh, the song is about sex. Damn good sex.			

The lead single from singer-songwriter Bruno Mars' sophomore album, Unorthodox Jukebox, features production by Mark Ronson, Jeff Bhasker, Emile Haynie and the songwriting/production team the Smeezingtons (Mars, Philip Lawrence and Ari Levine). The song finds Mars singing of a relationship that is so good the narrator feels like he was ""locked out of heaven"" before he met his lover. It debuted digitally and on radio on October 1, 2012 and became available for purchase the following day.


During his Google+ Hangout on the day of the song's release, Mars was asked by a fan to name his favorite lyrics from the track. Mars picked the phrase ""But swimming in your water is something spiritual,"" and later said that the single's exploration of feeling and being in love fits into the ""sensual, sensual and sensual"" theme of the album.


Though critics have been quick to point out the song's similarities to some of the hits by the Police, Mars told MTV News he did not set out to write anything inspired by the Sting-fronted band. Instead, it came to him out of the blue, one night during his studio sessions prior to recording the Unorthodox Jukebox album. ""I don't think it initially tried to sound like anybody else, but I picked up the guitar and just started playing [the song's opening chords],"" Mars explained. ""That's how it normally works; I'll pick up a guitar and I'll start humming a melody, and I started singing that, and I was up there in Sting-ville, in that register, so that's what you get... I tend to listen to a lot of guys with higher registers - Sting being one of them, Freddie Mercury, Michael Jackson, Stevie Wonder - because I've got a high voice.""


The song's stripped back music video was directed by Cameron Duddy, who also helmed the clip for Mars ' ""The Lazy Song."" The retro visual mainly features the singer performing the track in a club, with a few added VHS effects. ""The concept is just old-fashioned fun. No story line, it's not me singing to a girl, you get a good sense of what you're going to get live,"" explained Mars to MTV News. ""It's very VHS-y. I love that man, it takes me back to my childhood, when the tracking is off and the color is off, there's a beauty in that. You'd have to stand by the TV with, like, aluminum foil all over you.""


Bruno Mars performed the song live for the first time when he hosted and did double duty as the musical guest on Saturday Night Live, October 20, 2012.				
				







 
There was an error.





@musicrocks13 















Okay guys this song is about me. And how i havent given him some luvin in awhile. Okay know you know.				
				







 
There was an error.





@mcruz3 















I love this song, it's catchy, and I like the theme.				
				







 
There was an error.





@LilaGabby 















LUV this song....♥
Bruno is the best				
				







 
There was an error.





@mamadiano 
















0








 
@mamadiano this ain't no dope			






@mamadiano this ain't no dope			

As someone else stated it is about sex ... the best sex ever. So good in fact that they feel they've been ""locked out of heaven"" (ecstasy, nirvana, Elysium etc.) because they haven't experienced it before.

The lyrics aren't as crass as many other songs out there, a little bit more subtle (although still quite unsubtle).				
				







 
There was an error.





@sokorny 















I agree with bowtokingjesus this song is wank. It has little to no meaning and therefore is shit. 				
				







 
There was an error.





@Bensheps17 















The song fucking sucks, the lyrics are an affront to anything holy, and the only thing catchy is the annoyance you'll be catching by the retarded ""bip bip bip bip HOO!"" part.				
				







 
There was an error.





@BowToKingJesus 
















0








 
@BowToKingJesus O_O U CANT EVEN GET RID OF UR STUPID ACNE OR SOMETHING ELSE EMBARRASSING i'm embarrassing 			







0








 
@BowToKingJesus- I hope you get this somehow  3 years later, I consider myself a religious person (at a minimal level, went to Christian School for 8 years), Its obvious you are not a religious person, actually you have probably never had a good piece of ass, I totally understand Mars Lyrics cause Ive been married to a beyond nice piece of ass for 22+ years and sometimes I have to to question what did I do to deserve yhis (in the greatest of ways). Sorry Bro! Maybe your getting locked out of Heaven because you are cold hearted and obviously have never had a great piece of ass to love and enjoy(and I am truly sorry you have not been able to enjoy that). When I felt like that for a snall amount of time I told myse lo f I would dedicate myswlf to working out hard core until I can catch one. AND YES I DID! Dont hate the world cause you hate yourself, improve yourself and happiness will follow!			






@BowToKingJesus O_O U CANT EVEN GET RID OF UR STUPID ACNE OR SOMETHING ELSE EMBARRASSING i'm embarrassing 			

@BowToKingJesus- I hope you get this somehow  3 years later, I consider myself a religious person (at a minimal level, went to Christian School for 8 years), Its obvious you are not a religious person, actually you have probably never had a good piece of ass, I totally understand Mars Lyrics cause Ive been married to a beyond nice piece of ass for 22+ years and sometimes I have to to question what did I do to deserve yhis (in the greatest of ways). Sorry Bro! Maybe your getting locked out of Heaven because you are cold hearted and obviously have never had a great piece of ass to love and enjoy(and I am truly sorry you have not been able to enjoy that). When I felt like that for a snall amount of time I told myse lo f I would dedicate myswlf to working out hard core until I can catch one. AND YES I DID! Dont hate the world cause you hate yourself, improve yourself and happiness will follow!			
"
663,Look at Me Now.json,"
at the beginning of Busta's verse its not HAIL, its actually Ayo.				
				







 
There was an error.





@benwoo10 
















0








 
			Busta killed it <3			






			Busta killed it <3			

in weezies part it is not my daddys dead you faggots scared it is my daddys gay you faggots gay duh








 
There was an error.





@F4LL3NxNINJ4 
















0








 
			Why would he call his dad gay? it could be dead or geek but gay? do you have any source to this? Also, what does ""my pockets white"" mean? I thought it was ""wide"" before seeing the lyric			






			Why would he call his dad gay? it could be dead or geek but gay? do you have any source to this? Also, what does ""my pockets white"" mean? I thought it was ""wide"" before seeing the lyric			

Okay, just, one thing:

Every lyric site/youtube video posts incorrectly, ""Shudder"" during Busta's verse. Sersiouly, people- ""shudder""? Are you all just retarded? It's quite clearly ""show that."" 

Every time I come, a nigga gotta set it then I gotta go in and I gotta get it
Then I gotta blow it and I gotta SHOW THAT any little thing the nigga think he be doin'
'Cause it doesn't matter 'cause I'm gonna da-da-da-da-da


That is all.				
				







 
There was an error.





@janeaparis1 















Busta's verse is SO. FUCKING. AWESOME. And fast. :P 				
				







 
There was an error.





@fabcat 















damn i this song is fuckn bad ass but its a bitch to remember busta's verse lol 				
				







 
There was an error.





@Angel9494 















some small corrections in Lil' Wayne and Busta's verese:


I don't see how you can hate from outside of the club
You can't even get in!
Ha... LEGGO

Yellow model chick, yellow bottle sippin'
Yellow Lamborghini, yellow top missin'
Yeah yeah, that shit look like a toupee
I get what you get in ten years in two days
Ladies love me, I'm on my Cool J
If you get what I get, what would you say?
She wax it all off, Mr. Miyagi
And them suicide doors, Hari Kari

Look at me now
Look at me now
Oh
I'm gettin' paper
Look at me now (OH)
Look at me now (YEAH)
Fresher than a muh-fuck

Lil' nigga bigger than gorilla
'Cause I'm killin' every nigga that can try to be on my shit
Better cuff your chick
If you with her, I can get her
And she accidentally slipped and fell on my dick
Oops, I said on my dick
I didn't really mean to say on my dick
But since we talking about my dick
All of you haters say hi to it
I'm done

(BUSTA)
L Breezy!
Lemme show you how to keep the dice rollin' when you doin' that thing over there, homie
LESSS GO!

'Cause I feelin' like I'm runnin'
And I'm feelin' like I gotta get away, get away, get away
Better know that I don't and I won't ever stop
'Cause you know I gotta win every day, day (GO)
See they don't really wanna pop me
Just know that you will never flop me
And I know that I can be a little cocky (NO)
You ain't never gonna stop me
Every time I come, a nigga gotta set it then I gotta go in and I gotta get it
Then I gotta blow it and I gotta shudder any little thing the nigga think he be doin'
'Cause it doesn't matter 'cause I'm gonna da-da-da-da-da
Then I'm gonna murder everything and anything, a-bada boom, a-bada bing
I gotta do a lot of things, and make it clearer to a couple niggas
That I'm always winning and I gotta get it again and again and again
And I be doin' it to death, and now I move a little foul
A nigga better call a ref, and everybody know my style
And niggas know that I'm the best when it come to doin' this
And I be bangin' on my chest, and I bang in the East
And I bang in the West, and I come to give you more
And I will never give you less, you will hear it in the street
And you can read it in the press, do you really wanna know what's next? (Less go)
See, the way we on, we be all up in the race
And you know we gotta go, don't try to keep up with the pace
And we strugglin' and hustlin' and sendin' in and gettin' in
And we always gotta do it, take it to another place
I gotta taste it, and I gotta grab it
And I gotta cut through all this traffic
Just to be at the top of the throne, better know I gotta have it (have it)

Look at me now
Look at me now
Oh
I'm gettin' paper
Look at me now (OH)
Look at me now (YEAH)
Fresher than a muh-fuck

(WEEZY)
Man, fuck these bitch-ass niggas
How y'all doin'? I'm Lil Tunechi
I'm a nuisance, I go stupid
I go dumb like the Three Stooges
I don't eat sushi, I'm the shit
No, I'm pollution, no substitution
Got a bitch that playin’ movies
And my jacuzzi pussy juicy, I
Never give a fuck about a hater
Got money on my radar
Dressed like a skater
Got a big house, came with an elevator
You niggas ain't eatin', fuckin' tell a waiter
Marley said shoot 'em and I said OK
If you on that bullshit, then I'm like OLE
I don't care what you say
So don't even speak
Your girlfriend a freak like Cirque du Soleil
That's word to my flag
And my flag red
I'm outta my head, bitch, I'm outta my mind
From the bottom I climb
You ain't hotter than mine
Nope, not on my time
And I'm not even tryin'
what's poppin' Slime?
Nothin', Five
And if they trippin', fuck them five
I ain't got no time to shuck and jive
These niggas is sweet as pumpkin pie
Ciroc and Sprite on a private flight
Bitch, I've been tight since guiding light
And my pockets white and my diamonds white
And my momma's nice and my daddy's dead
You faggots scared 'cause I'm too wild
Been here for a while, I was like FUCK TRIAL
I puts it down, I'm so Young Money
If you got eyes, look at me now, bitch!

Look at me now
Look at me now
Oh
I'm gettin' paper
Look at me now (OH)
Look at me now (YEAH)
I'm fresher than a muh-fuck

OK
OK
Is that right?
I'm fresher than a muh-fuck!








 
There was an error.





@signthebread 















I think this song is about Rihanna, these lines:

Yeah, Yeah, That **** Look like a toupee (Dissing rihanna's hairstyle)
I Get what you get in 10 years, in two days. (Chris is really more successful than Rihanna)








 
There was an error.





@liljojo204 
















0








 
			No, he really isn't. Rihanna is far more successful than him & makes considerably more as her music sells better AND she makes millions with dozens of companies whose products she advertises. Women get to do beauty product ads so they generally make more at the end of the day if they're successful.

That line was to us - well not ALL of us, but the average-wage-making ""haters"" amidst his average-wage-making fans.			






			No, he really isn't. Rihanna is far more successful than him & makes considerably more as her music sells better AND she makes millions with dozens of companies whose products she advertises. Women get to do beauty product ads so they generally make more at the end of the day if they're successful.

That line was to us - well not ALL of us, but the average-wage-making ""haters"" amidst his average-wage-making fans.			

Why would he call his dad gay? it could be dead or geek but gay? do you have any source to this? Also, what does ""my pockets white"" mean? I thought it was ""wide"" before seeing the lyric				
				







 
There was an error.





@ivanko 















Oops I said, on my dick.  I didn't really mean to say, on my dick.  But since we're talking bout my dick--all you haters say hi to it.  <3  Gotta love 'em.  				
				







 
There was an error.





@juiceboxx19 















it was more right before, but some idiot had corrections done to my lyrics, and now i can't edit it myself				
				







 
There was an error.





@jjjonatron 














"
664,Look Up Child.json,nil
665,Lookin' For A Good Time.json,"
It is definetly about hooking up with no strings attached. Friends with benefits. But of course, things always get complicated, someone always ends up falling for the other.				
				







 
There was an error.





@texasbaby4735 















This song is super great, (: i sing it everytime it comes on.				
				







 
There was an error.





@dcafegooo 















I LOVE THIS SONG. it's so catchy, like it gets caught in your head. i love to sing along and drive with this on. 				
				







 
There was an error.





@kflyyy 















This is a very catchy song and I think the meaning is pretty evident.  It's about 2 people who like to be together for a good time to get away from it all but don't want the complications of a committed relationship.  Maybe a friends with benefits situation.  				
				







 
There was an error.





@puck_princess 















I don't usually listen to. Country music that much (my dad does though) but I LOVE THIS SONG!!! It's soo freakin catchy and I love it!!				
				







 
There was an error.





@bswimr127 















Upon first listen it does in fact sound like a song about a casual one night stand, but the more I listen to it and read the lyrics it seems more to me like a song about not putting so much pressure on a relationship from the start like most of us do. If you read the bridge you can understand what i'm talking about. ""but you never say never in life"" seems like admitting it could happen but saying ""lets just not worry about that right now"".				
				







 
There was an error.





@bammab90 















I think bammab90 hits the nail on the head. 				
				







 
There was an error.





@LegalWeasel 














"
666,Looking at Stars.json,nil
667,Lord Forgive Me.json,nil
668,Lose Yourself.json,"
Eminem is very talented in what he does and how he sings. He gets his message accross to the people the best way he knows how. All music is, is art...and you shouldn't criticize someone for their art work. It's all talent regardless. He is very talented in his way of showing his artistic talents.				
				







 
There was an error.





@DeadAngelicHeart 















Pretty sure several lines are wrong here. This transcription on Lyriki.com seems closer: lyriki.com/… 

Only one line in that version seems possibly wrong to me: ""But I kept rhymin and stepped right in the next cypher"" vs. the line here: ""But I kept rhymin and stepwritin the next cypher"" 

Honestly neither sound correct. It's the only line that doesn't seem right somehow. Maybe it's ""But I kept rhymin in step, writing the next cypher"" 				
				







 
There was an error.





@Fangorn81 















Uhm,
to the person who wrote the quote which said
""people who can't sing do rap""-
have you heard his singing voice? it's brilliant
he's great.
My favorite bit in this song is

"" This world is mine for the taking""				
				







 
There was an error.





@Eboneza 
















0








 
			the sad thing is on loads of his songs he says about not being able to sing even though he's got a really good singing voice, and also in response to anyone who say people who can't sing rap, Ed Sheeran is amazing at both			






			the sad thing is on loads of his songs he says about not being able to sing even though he's got a really good singing voice, and also in response to anyone who say people who can't sing rap, Ed Sheeran is amazing at both			

This song really means alot to me because its about how Eminem went through life and rose to stardom only to realize thats its not all he ever wanted.
These next lines are the most important lines in the song I believe

Too much for me to want to
Stay in one spot, another jam or not
Has gotten me to the point, I'm like a snail
I've got to formulate a plot fore I end up in jail or shot

These lines are saying that he is realizing that he is becoming stuck in his position and he doesn't like where he is at. He goes through his motions in an attempt to break out of the system in which he is becoming trapped. Any plan that he would make has to be a safe plan because he does not want to be killed or go to jail over it so he is thinking on what options are out there to get away from everything and go back to the old times. He is saying that he is a snail because he doesn't enjoy what he is doing and feels like his life is going by to slow for his liking.				
				







 
There was an error.





@jblue 
















0








 
@jblue another jam or not? Its another day of monotony's gotten me.			







0








 
@jblue another jam or not? Its another day of monotony's gotten me.			






@jblue another jam or not? Its another day of monotony's gotten me.			

@jblue another jam or not? Its another day of monotony's gotten me.			

im not a big fan of eminem but this is a really good song.  and this is the first eminem song that i actually like				
				







 
There was an error.





@twilightbeauty 















The soul's escaping, through this hole that it's gaping
This world is mine for the taking
Make me king, as we move toward a, new world order
A normal life is borin', but superstardom's close to post-mortem


Anyone else find these lyrics creepy and out of the ordinary?
Hes talking about selling his soul for the music industry saying superstars are practically dead because they have no souls.				
				







 
There was an error.





@johnnyblueye 
















+1








 
			yes, i completely agree with you. this little snippet of lyrics was just the start to his whole time he spent in the Illuminati.			






			yes, i completely agree with you. this little snippet of lyrics was just the start to his whole time he spent in the Illuminati.			

This song is so damn true. Stage fright gets you your first few times in front of the underground crowd....it's fuckin crazy too, because you think you aren't nervous....				
				







 
There was an error.





@OvercoveR 















this is a kickass song i heard it on the radio yesterday im buying the 8mile osundtrack...but when i try to dl this song it loops everytime...help guys?				
				







 
There was an error.





@uncgurl 
















0








 
@uncgurl try downloading it legally. :)			






@uncgurl try downloading it legally. :)			

heh how sweet is this two em albums in one year!!!!!!!!!! Lose yourself describes how people sort of get a ""High"" off of rapping and freestyling all the shit that bothers you everyday is gone and your in the zone but afterwards you feel like shit again				
				







 
There was an error.





@McShine 















wohwho DeadAngelicHeart, you are awesome.  Exactly what I would have said!  This song is AWESOME!  I can't stop playing it, and I can't help but get into it.  It's great!  I love the beat.  ""Da da dum da dum da da""				
				







 
There was an error.





@lfhsgrl 














"
669,Lost In Reality.json,nil
670,Lost in the Moment.json,nil
671,Lost in Your Light.json,nil
672,Lost More Than I Found.json,nil
673,Lost on You.json,"
The singer is reflecting on a relationship that is failing or challenged.  

She's trying to shine light to her lover on wisdom regarding what it takes to invest into a relationship and if that investment is not recognized, how that is an indication of how her sacrifices and work is lost on"" the person she loves. 

""all I ever wanted was you"" --- no games.
""ill never get to heaven cause i dont know how"" -- even though she did right by her lover, it didn't work. 
""lets raise a glass or two"" -- celebrating life / distracting herself while feeling heartbroken

She also reflects on wanting to know more about her lover and her expectations; what are the mappings of her mind are.  She's lost and confused about what her partner thinks and feels, but yet hopeful -- ""we can turn this around"".

""Just think you can cut me loose?""  ... She is reaffirming that she isn't someone that can just be discarded or toy'd with  I think it's also that her lover may need to recognize how much she's depended on her.  

Overall, the song is a tug of war between her love/lover and her willingness to survive her disappointment.				
				







 
There was an error.





@sharky1234 
















0








 
@sharky1234 wow sharky that was deep. i thought i could dive down deep lol. brilliant. very good			






@sharky1234 wow sharky that was deep. i thought i could dive down deep lol. brilliant. very good			
"
674,Lost Ones.json,"
This is clearly a song written from cole's own experience. He really puts a lot of emotion in the song when he sings,  especially when he sings "" i cry sometimes about""  Personaly, i love this song because it shows exactly how some men act when they end up in situations like this. cole admits to having acted in that way but his point of view changes and he realises that even if the child isnt his its his reponsability as a man to care for it ""but what about your seed nigga?"".				
				







 
There was an error.





@erika64298 
















0








 
			the baby is his... but he just panicked and was thinking in his heart “  is it even mine What if this bitch ain't even pregnant dawg Could she be lying?"" and the ""but what about your seed nigga?""ã€€part is referring toã€€”man if that bitch really pregnant
Tell her get an abortion“...			






			the baby is his... but he just panicked and was thinking in his heart “  is it even mine What if this bitch ain't even pregnant dawg Could she be lying?"" and the ""but what about your seed nigga?""ã€€part is referring toã€€”man if that bitch really pregnant
Tell her get an abortion“...			
"
675,Lost.json,"
this song is so good. I loved it from the first time i herd it. Great original Michael B! ♥ ☺				
				







 
There was an error.





@#1=Michael-B 















this song is beautiful...				
				







 
There was an error.





@noquinhas84 















i absolutely love this song.. 
i'm going to his concert in january and i KNOW i'll cry during this song.. he is purely amazing				
				







 
There was an error.





@babyd14 















""And I never saw the right man was on the wall""

""And I never saw the writing was on the wall""

Amazing Buble :)				
				







 
There was an error.





@thedanster 















I sing this song to myself all the time.
I broke up with an my boyfriend of 10months and he's moved on and i'm stuck in a rut. I used to be such a happy person but now i feel lost. However i'm determined to change and get the old Bex back & i sing this to myself to remind me that no matter how lonely i feel i'm not alone because i have all my friends that love me lots.				
				







 
There was an error.





@Becka_ 















""If i dont land"" should be ""If i'd only knew""

""And you can't bear to fall"" should be ""And you can't bear the thought""

:)				
				







 
There was an error.





@Becka_ 















The first time I heard this song I loved it,I think people can relate to this song.I know I sure can.				
				







 
There was an error.





@wild_tigre 















isn't the lyric 
'When your worlds crashing down
And you can't bear the cross
I said, babe, you're not lost'?				
				







 
There was an error.





@apanomar 















I loved this song from the moment i heard it... it came out 4 months after my dad passed away and i cried the first time i heard it because it made me think of him... anytime I'm missing my dad, I listen to this song... it makes me feel like he's watching over me... great job Michael!				
				







 
There was an error.





@bublelover8705 















i can completely relate to this song. its almost like there are two people who were in love once, and it just didnt work out at the time. but now, they are past their troubles and are just promising to be there for each other.

""I can't believe it's over
I watched the whole thing fall
And I never saw the right man was on the wall
If I don't land
Days were slipping past
That the good things never last
That you were crying""
they broke up, and he didn't do anything. he didnt see how she was hurting, he just let it slip by and didn't step up and become the man he should have been

he says ""I hardly recognized the girl you are today
And god I hope it's not too late""
and i think it means that she is different than when they were together, but he still wants to be friends and be there for her, like when he sings
""'Cause you are not alone
And I am there with you
And we'll get lost together""
he's offering her that escape again, offering to be there whether its as a friend or something more

i absolutely love this song, it completely relates to me and his voice is just amazing. it makes me cry				
				







 
There was an error.





@fangsup 














"
676,Lotus Flower Bomb.json,nil
677,Love Again.json,nil
678,Love And Marriage.json,"
I hate this song, I find it incredibly depressing.				
				







 
There was an error.





@mattmc387 















i can never go by the buckingham without thinking about this song lol				
				







 
There was an error.





@armadillobean 















married with children. woooo! excelleeent song.				
				







 
There was an error.





@hippie_trash 















awesome song!!! its so timeless				
				







 
There was an error.





@maestro 















This song makes me laugh. My father used to watch married w/children when it was on prime time, and I guess I unwittingly picked up the words. But this is still a funny song.				
				







 
There was an error.





@zacster 















i remember when married wih children were on prime time , i used to watch it religiously.. the song fit perfect with this show .. too funny ..				
				







 
There was an error.





@NIKKIE 















Especially the line(s)
""Dad was told by mother 
You can't have one without the other""				
				







 
There was an error.





@CastratedImp 















how can you hate any frank sinatra song? i love him. and i miss him.				
				







 
There was an error.





@lyss 















nonsense, the mafia didn't allow gays, lol.				
				







 
There was an error.





@Renegrenade 















lmao. whenever i hear this song i suddenly think of married with children				
				







 
There was an error.





@Breakingbenjaminfan 














"
